,interaction_id,interaction_type,id_bacterium,acc_bacterium,bact_strain,bact_specie,bact_genus,id_phage,acc_phage,phage_name
1260,11167,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6116,NA,Mycobacterium_phage_Phacado
1261,11168,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6117,KX664447,Mycobacterium_phage_Phaeder
1262,11169,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6118,EU816589,Mycobacterium_phage_Phaedrus
1263,11170,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6119,NA,Mycobacterium_phage_Phaja
1264,11171,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6120,KR816508,Mycobacterium_phage_Phamished
1265,11172,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6121,KX756439,Mycobacterium_phage_PhancyPhin
1266,11173,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6122,KJ510415,Mycobacterium_phage_Phantastic
1267,11174,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6123,NA,Mycobacterium_phage_Pharaoh
1268,11175,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6124,NA,Mycobacterium_phage_Phareon
1269,11176,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6125,KX611831,Mycobacterium_phage_Pharsalus
1270,11177,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6126,MF919526,Mycobacterium_phage_Phasih
1271,11178,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6127,KF562102,Mycobacterium_phage_PhatBacter
1272,11179,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6128,KX369585,Mycobacterium_phage_PhatCats2014
