,acc_bact,design_phage,id_bact,id_phage,interaction_id_old_db
373,NC_018289.1,Mycobacterium_phage_CREW,5859,2294,9933
374,NC_018289.1,Mycobacterium_phage_CrimD,5859,2295,9934
375,NC_018289.1,Mycobacterium_phage_Crispicous1,5859,2296,9935
376,NC_018289.1,Mycobacterium_phage_Crossroads,5859,2298,9937
377,NC_018289.1,Mycobacterium_phage_Crownjwl,5859,2299,9938
378,NC_018289.1,Mycobacterium_phage_Crucio,5859,2300,9939
379,NC_018289.1,Mycobacterium_phage_CrystalP,5859,2302,9941
380,NC_018289.1,Mycobacterium_phage_Cuco,5859,2303,9942
381,NZ_CP016594.1,Gordonia_phage_Cucurbita,1869,5398,9943
382,NC_018289.1,Mycobacterium_phage_Cueylyss,5859,2304,9944
383,NC_018289.1,Mycobacterium_phage_Cuke,5859,2305,9945
384,NZ_CP016594.1,Gordonia_phage_Cynthia,1869,2306,9946
385,NC_018289.1,Mycobacterium_phage_Czyszczon1,5859,2307,9947
386,NC_018289.1,Mycobacterium_phage_D29,5859,2308,9948
387,NC_018289.1,Mycobacterium_phage_Daegal,5859,2309,9949
388,NC_018289.1,Mycobacterium_phage_Daenerys,5859,2310,9950
389,NC_018289.1,Mycobacterium_phage_Daffodil,5859,2311,9951
390,NC_018289.1,Mycobacterium_phage_Daffy,5859,2312,9952
391,NC_018289.1,Mycobacterium_phage_DaHudson,5859,2313,9953
392,NC_018289.1,Mycobacterium_phage_Daishi,5859,2314,9954
393,NC_018289.1,Mycobacterium_phage_Daisy,5859,2315,9955
394,NC_018289.1,Mycobacterium_phage_Dalmatian,5859,2316,9956
395,NC_018289.1,Mycobacterium_phage_Dalmuri,5859,2317,9957
396,NC_018289.1,Mycobacterium_phage_Damien,5859,5399,9958
397,NC_018289.1,Mycobacterium_phage_Dandelion,5859,5400,9959
398,NC_018289.1,Mycobacterium_phage_Dante,5859,5401,9960
399,NZ_CP016594.1,Gordonia_phage_Danyall,1869,2318,9961
400,NC_018750.1,Streptomyces_phage_Danzina,126,2319,9962
401,NZ_CP016594.1,Gordonia_phage_Daredevil,1869,2320,9963
402,NC_018289.1,Mycobacterium_phage_DarthP,5859,2321,9964
403,NC_018289.1,Mycobacterium_phage_DarthPhader,5859,2322,9965
404,NZ_CP016594.1,Gordonia_phage_DatBoi,1869,2324,9967
405,NC_018750.1,Streptomyces_phage_Dattran,126,2325,9968
406,NC_018289.1,Mycobacterium_phage_DaVinci,5859,2326,9969
407,NC_018289.1,Mycobacterium_phage_DaWorst,5859,2327,9970
408,NC_018289.1,Mycobacterium_phage_DBQu4n,5859,2328,9971
409,NC_018289.1,Mycobacterium_phage_DD5,5859,2329,9972
410,NC_018289.1,Mycobacterium_phage_DeadP,5859,2330,9973
411,NC_018289.1,Mycobacterium_phage_Deby,5859,2331,9974
412,NZ_CP014196.1,Arthrobacter_phage_Decurro,153,5402,9975
413,NZ_CP016594.1,Gordonia_phage_Delian,1869,2332,9976
414,NC_018289.1,Mycobacterium_phage_Delilah,5859,2333,9977
415,NZ_CP016594.1,Gordonia_phage_Demosthenes,1869,5403,9978
416,NC_018289.1,Mycobacterium_phage_Demsculpinboyz,5859,2334,9979
417,NC_018289.1,Mycobacterium_phage_Derek,5859,2335,9980
418,NC_018289.1,Mycobacterium_phage_Derpp,5859,2336,9981
419,NZ_CP014196.1,Arthrobacter_phage_Dewayne,153,2337,9982
420,NZ_CP016594.1,Gordonia_phage_Dexdert,1869,2338,9983
421,NC_018289.1,Mycobacterium_phage_Dhanush,5859,2339,9984
422,NC_018289.1,Mycobacterium_phage_Dieselweasel,5859,2340,9985
423,NC_018289.1,Mycobacterium_phage_DillTech15,5859,2341,9986
424,NC_018289.1,Mycobacterium_phage_Dingo,5859,2343,9994
425,NZ_CP014196.1,Arthrobacter_phage_Dino,153,2344,9995
426,NZ_CP016594.1,Gordonia_phage_DinoDaryn,1869,2345,9996
427,NC_018289.1,Mycobacterium_phage_Dione,5859,2346,9997
428,NC_018289.1,Mycobacterium_phage_DirtMcgirt,5859,2347,9998
429,NC_018289.1,Mycobacterium_phage_DirtyDunning,5859,2348,9999
430,NC_018289.1,Mycobacterium_phage_DismalFunk,5859,2349,10000
431,NC_018289.1,Mycobacterium_phage_DismalStressor,5859,2350,10001
432,NC_018289.1,Mycobacterium_phage_Dixon,5859,2351,10002
433,NZ_CP016594.1,Gordonia_phage_Djokovic,1869,2352,10003
434,NC_018289.1,Mycobacterium_phage_DLane,5859,2353,10004
435,NZ_CP016594.1,Gordonia_phage_Dmitri,1869,2354,10005
436,NC_018289.1,Mycobacterium_phage_DmpstrDiver,5859,2355,10006
437,NC_018289.1,Mycobacterium_phage_DoesntMatter,5859,2356,10007
438,NC_018289.1,Mycobacterium_phage_Donny,5859,2357,10008
439,NC_018289.1,Mycobacterium_phage_Donovan,5859,5404,10009
440,NC_018289.1,Mycobacterium_phage_DonSanchon,5859,2358,10010
441,NC_018289.1,Mycobacterium_phage_Doom,5859,2359,10011
442,NC_018289.1,Mycobacterium_phage_Dori,5859,5405,10012
443,NC_018289.1,Mycobacterium_phage_Dorothy,5859,2360,10013
444,NC_018289.1,Mycobacterium_phage_DotProduct,5859,2361,10014
445,NC_018289.1,Mycobacterium_phage_Drago,5859,2363,10018
446,NC_018289.1,Mycobacterium_phage_Drake55,5859,2364,10019
447,NC_018289.1,Mycobacterium_phage_Drazdys,5859,2365,10020
448,NC_018289.1,Mycobacterium_phage_DRBy19,5859,2366,10021
449,NC_018289.1,Mycobacterium_phage_DrDrey,5859,5406,10022
450,NC_018289.1,Mycobacterium_phage_Dreamboat,5859,5407,10023
451,NC_018289.1,Mycobacterium_phage_DreamCatcher,5859,2367,10024
452,NC_018289.1,Mycobacterium_phage_DrHayes,5859,2369,10026
453,NZ_JNHS00000000.1,Propionibacterium_phage_DrParker,5731,2371,10028
454,NC_018289.1,Mycobacterium_phage_DrPhinkDaddy,5859,2372,10029
455,NZ_CP014196.1,Arthrobacter_phage_DrRobert,153,2373,10030
456,NC_018289.1,Mycobacterium_phage_Druantia,5859,2374,10031
457,NZ_CP014196.1,Arthrobacter_phage_DrYang,153,2375,10032
458,NZ_CP009480.1,Mycobacterium_phage_DS6A,85,5408,10033
459,NC_018289.1,Mycobacterium_phage_DTDevon,5859,2376,10034
460,NC_018289.1,Mycobacterium_phage_Dublin,5859,2377,10035
461,NC_018289.1,Mycobacterium_phage_DuchessDung,5859,2378,10036
462,NC_018289.1,Mycobacterium_phage_DudeLittle,5859,2379,10037
463,NC_018289.1,Mycobacterium_phage_Duke13,5859,2380,10038
464,NC_018289.1,Mycobacterium_phage_Dulcie,5859,2381,10039
465,NC_018289.1,Mycobacterium_phage_Dumbo,5859,5409,10040
466,NC_018289.1,Mycobacterium_phage_Durga,5859,2382,10041
467,NC_018289.1,Mycobacterium_phage_Dusk,5859,5410,10042
468,NC_018289.1,Mycobacterium_phage_Dylan,5859,2383,10043
469,NC_018289.1,Mycobacterium_phage_Dynamix,5859,2384,10044
470,NC_018289.1,Mycobacterium_phage_DyoEdafos,5859,2385,10045
471,NC_018289.1,Mycobacterium_phage_Eagle,5859,2388,10052
472,NC_018289.1,Mycobacterium_phage_EagleEye,5859,5411,10053
473,NC_018289.1,Mycobacterium_phage_Eaglehorse,5859,2389,10054
474,NC_018289.1,Mycobacterium_phage_Eapen,5859,2390,10055
475,NC_018289.1,Mycobacterium_phage_Easy2Say,5859,2391,10056
476,NZ_CP016594.1,Gordonia_phage_Ebert,1869,2392,10057
477,NC_018289.1,Mycobacterium_phage_Ebony,5859,2393,10058
478,NC_018289.1,Mycobacterium_phage_Echild,5859,5412,10059
479,NZ_CP014196.1,Arthrobacter_phage_EdgarPoe,153,2395,10061
480,NZ_CP014196.1,Arthrobacter_phage_Edmundo,153,2396,10062
481,NC_018289.1,Mycobacterium_phage_Edtherson,5859,5413,10063
482,NC_018289.1,Mycobacterium_phage_Edugator,5859,2397,10064
483,NC_018289.1,Mycobacterium_phage_Efra2,5859,2398,10065
484,NC_018289.1,Mycobacterium_phage_Eidsmoe,5859,2399,10066
485,NC_018289.1,Mycobacterium_phage_Ein37,5859,2400,10067
486,NZ_APVM00000000.1,Streptomyces_phage_ELB20,5787,2401,10068
487,NZ_CP014196.1,Arthrobacter_phage_ElephantMan,153,2402,10069
488,NC_018289.1,Mycobacterium_phage_Elite2014,5859,2403,10070
489,NZ_CP014196.1,Arthrobacter_phage_Elkhorn,153,2404,10071
490,NC_018289.1,Mycobacterium_phage_Elph10,5859,2405,10072
491,NZ_CP014196.1,Arthrobacter_phage_Elsa,153,2406,10073
492,NC_018289.1,Mycobacterium_phage_ElTiger69,5859,2407,10074
493,NZ_CP016594.1,Gordonia_phage_Emalyn,1869,5414,10075
494,NC_018289.1,Mycobacterium_phage_Emerson,5859,2408,10076
495,NZ_CP016594.1,Gordonia_phage_Emianna,1869,2409,10077
496,NC_018289.1,Mycobacterium_phage_Emma,5859,2411,10098
497,NC_018289.1,Mycobacterium_phage_EmmaElysia,5859,2412,10099
498,NZ_CP016594.1,Gordonia_phage_EMoore,1869,2413,10100
499,NZ_CP016594.1,Gordonia_phage_Emperor,1869,2414,10101
500,NC_018289.1,Mycobacterium_phage_Empress,5859,2415,10102
501,NC_018289.1,Mycobacterium_phage_EmpTee,5859,2416,10103
502,NC_018289.1,Mycobacterium_phage_EmToTheThree,5859,2417,10104
503,NC_018289.1,Mycobacterium_phage_EniyanLRS,5859,2418,10105
504,NC_018289.1,Mycobacterium_phage_Enkosi,5859,5415,10106
505,NZ_JNHS00000000.1,Propionibacterium_phage_Enoki,5731,5416,10107
506,NC_018289.1,Mycobacterium_phage_EpicPhail,5859,2419,10108
507,NC_018289.1,Mycobacterium_phage_Equemioh13,5859,5417,10109
508,NC_018289.1,Mycobacterium_phage_Erdmann,5859,2420,10110
509,NC_018289.1,Mycobacterium_phage_Eremos,5859,5418,10111
510,NC_018289.1,Mycobacterium_phage_EricB,5859,2421,10112
511,NC_018289.1,Mycobacterium_phage_EricMillard,5859,2422,10113
512,NC_018289.1,Mycobacterium_phage_Eris,5859,2424,10121
513,NC_018289.1,Mycobacterium_phage_Erk16,5859,2425,10122
514,NC_018289.1,Mycobacterium_phage_ErnieJ,5859,2426,10123
515,NC_018289.1,Mycobacterium_phage_Eros,5859,2427,10124
